id,code,name,full_name
l10n_latam_sv.30990,30990,"Fabricación de equipo de transporte ncp","Fabricación de equipo de transporte ncp"
l10n_latam_sv.27400,27400,"Fabricación de equipo eléctrico de iluminación","Fabricación de equipo eléctrico de iluminación"
l10n_latam_sv.28120,28120,"Fabricación de equipo hidráulico","Fabricación de equipo hidráulico"
l10n_latam_sv.26600,26600,"Fabricación de equipo médico de irradiación y equipo electrónico de uso médico y terapéutico","Fabricación de equipo médico de irradiación y equipo electrónico de uso médico y terapéutico"
l10n_latam_sv.32902,32902,"Fabricación de escobas, cepillos, pinceles y similares","Fabricación de escobas, cepillos, pinceles y similares"
l10n_latam_sv.20300,20300,"Fabricación de fibras artificiales","Fabricación de fibras artificiales"
l10n_latam_sv.35200,35200,"Fabricación de gas, distribución de combustibles gaseosos por tuberías","Fabricación de gas, distribución de combustibles gaseosos por tuberías"
l10n_latam_sv.20113,20113,"Fabricación de gases industriales","Fabricación de gases industriales"
l10n_latam_sv.25130,25130,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central","Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
l10n_latam_sv.28180,28180,"Fabricación de herramientas manuales","Fabricación de herramientas manuales"
l10n_latam_sv.13112,13112,"Fabricación de hilados","Fabricación de hilados"
l10n_latam_sv.28150,28150,"Fabricación de hornos y quemadores","Fabricación de hornos y quemadores"
l10n_latam_sv.26700,26700,"Fabricación de instrumentos de óptica y equipo fotográfico","Fabricación de instrumentos de óptica y equipo fotográfico"
l10n_latam_sv.32200,32200,"Fabricación de instrumentos musicales","Fabricación de instrumentos musicales"
l10n_latam_sv.26510,26510,"Fabricación de instrumentos y aparatos para medrr, verificar, ensayar, navegar y de control de procesos industriales","Fabricación de instrumentos y aparatos para medrr, verificar, ensayar, navegar y de control de procesos industriales"
l10n_latam_sv.32500,32500,"Fabricación de instrumentos y materiales médicos y odontológicos","Fabricación de instrumentos y materiales médicos y odontológicos"
l10n_latam_sv.20231,20231,"Fabricación de jabones, detergentes y similares para limpieza","Fabricación de jabones, detergentes y similares para limpieza"
l10n_latam_sv.32120,32120,"Fabricación de joyas de imitación (fantasía) y artículos conexos","Fabricación de joyas de imitación (fantasía) y artículos conexos"
l10n_latam_sv.32110,32110,"Fabricación de joyas platerías y joyerías","Fabricación de joyas platerías y joyerías"
